 [*] Waiting for messages. To exit press CTRL+C
{'id': '2', 'laps': '15', 'pos': '1'}
id:2, gps:(), lap:15, pos:1, speed:0.0
{'id': '7', 'laps': '15', 'pos': '2'}
id:7, gps:(), lap:15, pos:2, speed:0.0
{'id': '18', 'laps': '15', 'pos': '3'}
id:18, gps:(), lap:15, pos:3, speed:0.0
{'id': '16', 'laps': '15', 'pos': '4'}
id:16, gps:(), lap:15, pos:4, speed:0.0
{'id': '15', 'laps': '15', 'pos': '5'}
id:15, gps:(), lap:15, pos:5, speed:0.0
{'id': '12', 'laps': '14', 'pos': '6'}
id:12, gps:(), lap:14, pos:6, speed:0.0
{'id': '13', 'laps': '14', 'pos': '7'}
id:13, gps:(), lap:14, pos:7, speed:0.0
{'id': '11', 'laps': '14', 'pos': '8'}
id:11, gps:(), lap:14, pos:8, speed:0.0
{'id': '3', 'laps': '14', 'pos': '9'}
id:3, gps:(), lap:14, pos:9, speed:0.0
{'id': '10', 'laps': '14', 'pos': '10'}
id:10, gps:(), lap:14, pos:10, speed:0.0
{'id': '5', 'laps': '14', 'pos': '11'}
id:5, gps:(), lap:14, pos:11, speed:0.0
{'id': '6', 'laps': '14', 'pos': '12'}
id:6, gps:(), lap:14, pos:12, speed:0.0
{'id': '20', 'laps': '14', 'pos': '13'}
id:20, gps:(), lap:14, pos:13, speed:0.0
{'id': '1', 'laps': '14', 'pos': '14'}
id:1, gps:(), lap:14, pos:14, speed:0.0
{'id': '14', 'laps': '13', 'pos': '15'}
id:14, gps:(), lap:13, pos:15, speed:0.0
{'id': '19', 'laps': '13', 'pos': '16'}
id:19, gps:(), lap:13, pos:16, speed:0.0
{'id': '8', 'laps': '13', 'pos': '17'}
id:8, gps:(), lap:13, pos:17, speed:0.0
{'id': '17', 'laps': '13', 'pos': '18'}
id:17, gps:(), lap:13, pos:18, speed:0.0
{'id': '4', 'laps': '13', 'pos': '19'}
id:4, gps:(), lap:13, pos:19, speed:0.0
{'id': '9', 'laps': '13', 'pos': '20'}
id:9, gps:(), lap:13, pos:20, speed:0.0
id:8, gps:(37.35725, -122.0626), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35744, -122.06264), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35787, -122.06272), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35806, -122.06275), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3585, -122.06281), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35874, -122.06283), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35898, -122.06285), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35925, -122.06286), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35968, -122.06287), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.35997, -122.06287), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36025, -122.06287), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36059, -122.06286), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36102, -122.06285), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36138, -122.06284), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36172, -122.06284), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36189, -122.06283), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36223, -122.06282), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36251, -122.06282), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36307, -122.0628), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3635, -122.06279), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36375, -122.0628), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36402, -122.0628), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36436, -122.06282), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36467833333333, -122.06287), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36496833333333, -122.06292), lap:0, pos:0, speed:134.23387145996094
